customerNumber,customerName,total_payments
141,Euro+ Shopping Channel,715738.98
124,Mini Gifts Distributors Ltd.,584188.24
114,"Australian Collectors, Co.",180585.07
151,Muscle Machine Inc,177913.95
148,"Dragon Souveniers, Ltd.",156251.03
323,"Down Under Souveniers, Inc",154622.08
187,"AV Stores, Co.",148410.09
276,"Anna's Decorations, Ltd",137034.22
321,Corporate Gift Ideas Co.,132340.78
146,"Saveley & Henriot, Co.",130305.35
278,Rovelli Gifts,127529.69
353,Reims Collectables,126983.19
119,La Rochelle Gifts,116949.68
363,Online Diecast Creations Co.,116449.29
496,Kelly's Gift Shop,114497.19
458,"Corrida Auto Replicas, Ltd",112440.09
298,"Vida Sport, Ltd",108777.92
131,Land of Toys Inc.,107639.94
145,Danish Wholesale Imports,107446.50
398,"Tokyo Collectables, Ltd",105548.73
166,Handji Gifts& Co,105420.57
161,Technics Stores Inc.,104545.22
121,Baane Mini Imports,104224.79
334,Suominen Souveniers,103896.74
320,Mini Creations Ltd.,101872.52
157,Diecast Classics Inc.,98509.25
167,Herkku Gifts,97562.47
311,"Oulu Toy Supplies, Inc.",95706.15
186,"Toys of Finland, Co.",95546.46
175,Gift Depot Inc.,95424.63
205,Toys4GrownUps.com,93803.30
282,Souveniers And Things Co.,91655.61
286,Marta's Replicas Co.,90545.37
386,L'ordine Souveniers,90143.31
227,Heintze Collectables,89909.80
259,"Toms Spezialit├ñten, Ltd",89223.14
462,FunGiftIdeas.com,88627.49
385,Cruz & Sons Co.,87468.30
172,"La Corne D'abondance, Co.",86553.52
406,Auto Canal+ Petit,86436.97
382,Salzburg Collectables,85060.00
249,Amica Models & Co.,82223.23
324,"Stylish Desk Decors, Co.",80556.73
239,Collectable Mini Designs Co.,80375.24
112,Signal Gift Stores,80180.98
319,Mini Classics,78432.16
486,Motor Mint Distributors Inc.,77726.59
448,Scandinavian Gift Ideas,76776.44
128,"Blauer See Auto, Co.",75937.76
209,Mini Caravy,75859.32
379,Collectables For Less Inc.,73533.65
181,Vitachrome Inc.,72497.64
240,giftsbymail.co.uk,71783.75
350,Marseille Mini Autos,71547.53
455,Super Scale Inc.,70378.65
202,Canadian Gift Exchange Network,70122.19
424,Classic Legends Inc.,69214.33
299,"Norway Gifts By Mail, Co.",69059.04
233,Qu├®bec Home Shopping Network,68977.67
216,Enaco Distributors,68520.47
250,Lyon Souveniers,67659.19
260,"Royal Canadian Collectables, Ltd.",66812.00
129,Mini Wheels Co.,66710.56
412,"Extreme Desk Decorations, Ltd",66704.94
495,Diecast Collectables,65541.74
177,Osaka Souveniers Co.,62361.22
314,Petit Auto,62253.85
171,Daedalus Designs Imports,61781.70
201,"UK Collectables, Ltd.",61167.18
242,Alpha Cognac,60483.36
450,The Sharp Gifts Warehouse,59551.38
256,Auto Associ├®s & Cie.,58876.41
339,"Classic Gift Ideas, Inc",57939.34
357,GiftsForHim.com,56662.38
204,Online Mini Collectables,55577.26
333,"Australian Gift Network, Co",55190.16
452,Mini Auto Werke,51059.99
484,"Iberia Gift Imports, Corp.",50987.85
447,Gift Ideas Corp.,49967.78
189,"Clover Collections, Co.",49898.27
344,CAF Imports,46751.14
211,"King Kong Collectables, Co.",45480.79
471,"Australian Collectables, Ltd",44920.76
475,West Coast Collectables Co.,43748.72
144,"Volvo Model Replicas, Co",43680.65
487,Signal Collectibles Ltd.,42570.37
347,"Men 'R' US Retailers, Ltd.",41506.19
328,Tekni Collectables Inc.,38281.51
362,Gifts4AllAges.com,33533.47
173,Cambridge Collectables Co.,32198.69
415,"Bavarian Collectables Imports, Co.",31310.09
489,"Double Decker Gift Stores, Ltd",29586.15
456,Microscale Inc.,29230.43
381,Royale Belge,29217.18
473,Frau da Collezione,25358.32
103,Atelier graphique,22314.36
198,Auto-Moto Classics Inc.,21554.26
219,Boards & Toys Co.,7918.60
