Territory,CalendarYear,TotalRevenue
Australia,2010,20909.78
Canada,2010,3578.27
France,2010,3399.99
Northwest,2010,3399.99
Southwest,2010,11433.9082
United Kingdom,2010,699.0982
Australia,2011,2563732.2493
Canada,2011,571571.7984
France,2011,410845.326
Germany,2011,520500.1642
Northwest,2011,927056.7613
Southwest,2011,1531228.4113
United Kingdom,2011,550591.2186
Australia,2012,2128407.4551
Canada,2012,307604.5237
Central,2012,2071.4196
France,2012,648065.5383
Germany,2012,608657.984
Northeast,2012,2049.0982
Northwest,2012,619068.4799
Southeast,2012,3637.3996
Southwest,2012,810222.3327
United Kingdom,2012,712700.9641
Australia,2013,4339443.38
Canada,2013,1085632.65
Central,2013,929.41
France,2013,1578511.8
Germany,2013,1761876.36
Northeast,2013,4483.37
Northwest,2013,2091249.51
Southeast,2013,8526.47
Southwest,2013,3356890.1
United Kingdom,2013,2124007.29
Australia,2014,8507.72
Canada,2014,9457.62
France,2014,3195.06
Germany,2014,3277.83
Northwest,2014,9091.81
Southeast,2014,74.98
Southwest,2014,8376.06
United Kingdom,2014,3713.64
