EnglishMonthName,CalendarYear,MonthlyRevenue
December,2010,43421.0364
January,2011,469823.9148
February,2011,466334.903
March,2011,485198.6594
April,2011,502073.8458
May,2011,561681.4758
June,2011,737839.8214
July,2011,596746.5568
August,2011,614557.935
September,2011,603083.4976
October,2011,708208.0032
November,2011,660545.8132
December,2011,669431.5031
January,2012,495364.1261
February,2012,506994.1876
March,2012,373483.0054
April,2012,400335.6145
May,2012,358877.8907
June,2012,555160.1428
July,2012,444558.2281
August,2012,523917.3815
September,2012,486177.4502
October,2012,535159.4846
November,2012,537955.517
December,2012,624502.1667
January,2013,857689.91
February,2013,771348.74
March,2013,1049907.39
April,2013,1046022.77
May,2013,1284592.93
June,2013,1643177.78
July,2013,1371675.81
August,2013,1551065.56
September,2013,1447495.69
October,2013,1673293.41
November,2013,1780920.06
December,2013,1874360.29
January,2014,45694.72
