ProductKey,AvgUnitPrice,TotalQuantity
593,564.99,39
355,2319.99,392
570,742.35,48
378,2443.35,147
384,1120.49,199
361,2294.99,427
576,2384.07,147
564,2384.07,140
324,699.0982,16
344,3399.99,58
487,54.99,733
530,4.99,1488
481,8.99,298
338,699.0982,21
587,769.49,148
387,1000.4375,77
473,63.5,195
335,782.99,48
381,1000.4375,72
358,2049.0982,166
375,2181.5625,141
327,782.99,50
573,2384.07,177
467,24.49,443
321,782.99,55
567,742.35,64
390,1120.49,189
584,539.99,334
484,7.95,908
604,539.99,360
347,3399.99,36
341,782.99,43
596,539.99,48
590,769.49,138
490,53.99,374
476,69.99,363
353,2319.99,422
359,2294.99,416
336,699.0982,22
330,699.0982,20
382,1120.49,198
528,4.99,3095
313,3578.27,302
562,2384.07,151
376,2443.35,157
322,699.0982,17
568,742.35,59
370,2443.35,133
605,539.99,363
485,21.98,2121
536,29.99,1161
579,1214.85,88
350,3374.99,60
599,539.99,56
585,742.35,53
342,699.0982,33
591,564.99,45
356,2071.4196,179
379,2181.5625,144
571,742.35,47
310,3578.27,336
479,8.99,1712
333,782.99,58
362,2049.0982,201
373,2181.5625,129
465,24.49,499
565,742.35,55
582,1700.99,216
488,53.99,406
482,8.99,270
539,24.99,926
588,769.49,128
339,782.99,42
474,69.99,304
311,3578.27,281
334,699.0982,28
234,49.99,452
357,2319.99,401
480,2.29,3191
374,2443.35,142
328,699.0982,26
574,2384.07,150
566,742.35,57
368,2443.35,144
583,1700.99,232
560,1214.85,81
228,49.99,429
483,120.0,328
577,1214.85,97
540,32.6,858
385,1000.4375,69
597,539.99,49
348,3374.99,49
491,53.99,409
594,564.99,50
377,2181.5625,172
354,2071.4196,168
477,4.99,4244
331,782.99,41
231,49.99,442
563,2384.07,158
325,782.99,59
314,3578.27,295
371,2181.5625,172
471,63.5,168
222,34.99,2125
463,24.49,488
606,539.99,386
225,8.99,2190
580,1700.99,246
600,539.99,41
337,782.99,43
586,742.35,48
351,3374.99,57
388,1120.49,210
537,35.0,1396
345,3399.99,42
380,2443.35,126
595,564.99,48
572,742.35,50
478,9.99,2025
332,699.0982,18
326,699.0982,22
363,2294.99,419
217,34.99,2085
472,63.5,199
372,2443.35,134
581,1700.99,235
340,699.0982,17
352,2071.4196,174
389,1000.4375,72
538,21.49,1044
489,53.99,407
346,3399.99,49
589,769.49,129
214,34.99,2230
475,69.99,352
569,742.35,59
237,49.99,413
312,3578.27,337
383,1000.4375,67
329,782.99,62
360,2049.0982,187
575,2384.07,160
561,2384.07,172
323,782.99,36
320,699.0982,19
369,2443.35,162
486,159.0,249
535,24.99,862
529,3.99,2376
578,1214.85,106
386,1120.49,237
349,3374.99,45
598,539.99,58
343,782.99,56
592,564.99,45
541,28.99,935
