CalendarYear,SalesTerritoryRegion,TotalRevenue
2010,Australia,20909.78
2010,Canada,3578.27
2010,France,3399.99
2010,Northwest,3399.99
2010,Southwest,11433.9082
2010,United Kingdom,699.0982
2011,Australia,2563732.2493
2011,Canada,571571.7984
2011,France,410845.326
2011,Germany,520500.1642
2011,Northwest,927056.7613
2011,Southwest,1531228.4113
2011,United Kingdom,550591.2186
2012,Australia,2128407.4551
2012,Canada,307604.5237
2012,Central,2071.4196
2012,France,648065.5383
2012,Germany,608657.984
2012,Northeast,2049.0982
2012,Northwest,619068.4799
2012,Southeast,3637.3996
2012,Southwest,810222.3327
2012,United Kingdom,712700.9641
2013,Australia,4339443.38
2013,Canada,1085632.65
2013,Central,929.41
2013,France,1578511.8
2013,Germany,1761876.36
2013,Northeast,4483.37
2013,Northwest,2091249.51
2013,Southeast,8526.47
2013,Southwest,3356890.1
2013,United Kingdom,2124007.29
2014,Australia,8507.72
2014,Canada,9457.62
2014,France,3195.06
2014,Germany,3277.83
2014,Northwest,9091.81
2014,Southeast,74.98
2014,Southwest,8376.06
2014,United Kingdom,3713.64
