EnglishProductName,Price,Quantity
Patch Kit/8 Patches,2.29,3191
Road Tire Tube,3.99,2376
Mountain Tire Tube,4.99,3095
Touring Tire Tube,4.99,1488
Water Bottle - 30 oz.,4.99,4244
Bike Wash - Dissolver,7.95,908
AWC Logo Cap,8.99,2190
"Racing Socks, L",8.99,270
"Racing Socks, M",8.99,298
Road Bottle Cage,8.99,1712
Mountain Bottle Cage,9.99,2025
LL Road Tire,21.49,1044
Fender Set - Mountain,21.98,2121
"Half-Finger Gloves, L",24.49,443
"Half-Finger Gloves, M",24.49,499
"Half-Finger Gloves, S",24.49,488
LL Mountain Tire,24.99,862
ML Road Tire,24.99,926
Touring Tire,28.99,935
ML Mountain Tire,29.99,1161
HL Road Tire,32.6,858
"Sport-100 Helmet, Black",34.99,2085
"Sport-100 Helmet, Blue",34.99,2125
"Sport-100 Helmet, Red",34.99,2230
HL Mountain Tire,35.0,1396
"Long-Sleeve Logo Jersey, L",49.99,452
"Long-Sleeve Logo Jersey, M",49.99,442
"Long-Sleeve Logo Jersey, S",49.99,429
"Long-Sleeve Logo Jersey, XL",49.99,413
"Short-Sleeve Classic Jersey, L",53.99,374
"Short-Sleeve Classic Jersey, M",53.99,407
"Short-Sleeve Classic Jersey, S",53.99,406
"Short-Sleeve Classic Jersey, XL",53.99,409
Hydration Pack - 70 oz.,54.99,733
"Classic Vest, L",63.5,195
"Classic Vest, M",63.5,199
"Classic Vest, S",63.5,168
"Women's Mountain Shorts, L",69.99,363
"Women's Mountain Shorts, M",69.99,352
"Women's Mountain Shorts, S",69.99,304
Hitch Rack - 4-Bike,120.0,328
All-Purpose Bike Stand,159.0,249
"Mountain-500 Black, 40",539.99,48
"Mountain-500 Black, 42",539.99,49
"Mountain-500 Black, 44",539.99,58
"Mountain-500 Black, 48",539.99,56
"Mountain-500 Black, 52",539.99,41
"Road-750 Black, 44",539.99,360
"Road-750 Black, 48",539.99,363
"Road-750 Black, 52",539.99,386
"Road-750 Black, 58",539.99,334
"Mountain-500 Silver, 40",564.99,45
"Mountain-500 Silver, 42",564.99,45
"Mountain-500 Silver, 44",564.99,39
"Mountain-500 Silver, 48",564.99,50
"Mountain-500 Silver, 52",564.99,48
"Road-650 Black, 44",699.0982,21
"Road-650 Black, 48",699.0982,17
"Road-650 Black, 52",699.0982,33
"Road-650 Black, 58",699.0982,18
"Road-650 Black, 60",699.0982,28
"Road-650 Black, 62",699.0982,22
"Road-650 Red, 44",699.0982,22
"Road-650 Red, 48",699.0982,26
"Road-650 Red, 52",699.0982,20
"Road-650 Red, 58",699.0982,19
"Road-650 Red, 60",699.0982,17
"Road-650 Red, 62",699.0982,16
"Touring-3000 Blue, 44",742.35,53
"Touring-3000 Blue, 50",742.35,48
"Touring-3000 Blue, 54",742.35,55
"Touring-3000 Blue, 58",742.35,57
"Touring-3000 Blue, 62",742.35,64
"Touring-3000 Yellow, 44",742.35,59
"Touring-3000 Yellow, 50",742.35,59
"Touring-3000 Yellow, 54",742.35,48
"Touring-3000 Yellow, 58",742.35,47
"Touring-3000 Yellow, 62",742.35,50
"Mountain-400-W Silver, 38",769.49,148
"Mountain-400-W Silver, 40",769.49,128
"Mountain-400-W Silver, 42",769.49,129
"Mountain-400-W Silver, 46",769.49,138
"Road-650 Black, 44",782.99,42
"Road-650 Black, 48",782.99,43
"Road-650 Black, 52",782.99,56
"Road-650 Black, 58",782.99,58
"Road-650 Black, 60",782.99,48
"Road-650 Black, 62",782.99,43
"Road-650 Red, 44",782.99,50
"Road-650 Red, 48",782.99,62
"Road-650 Red, 52",782.99,41
"Road-650 Red, 58",782.99,55
"Road-650 Red, 60",782.99,36
"Road-650 Red, 62",782.99,59
"Road-550-W Yellow, 38",1000.4375,72
"Road-550-W Yellow, 40",1000.4375,67
"Road-550-W Yellow, 42",1000.4375,69
"Road-550-W Yellow, 44",1000.4375,77
"Road-550-W Yellow, 48",1000.4375,72
"Road-550-W Yellow, 38",1120.49,198
"Road-550-W Yellow, 40",1120.49,199
"Road-550-W Yellow, 42",1120.49,237
"Road-550-W Yellow, 44",1120.49,210
"Road-550-W Yellow, 48",1120.49,189
"Touring-2000 Blue, 46",1214.85,97
"Touring-2000 Blue, 50",1214.85,106
"Touring-2000 Blue, 54",1214.85,88
"Touring-2000 Blue, 60",1214.85,81
"Road-350-W Yellow, 40",1700.99,246
"Road-350-W Yellow, 42",1700.99,235
"Road-350-W Yellow, 44",1700.99,216
"Road-350-W Yellow, 48",1700.99,232
"Mountain-200 Black, 38",2049.0982,166
"Mountain-200 Black, 42",2049.0982,187
"Mountain-200 Black, 46",2049.0982,201
"Mountain-200 Silver, 38",2071.4196,174
"Mountain-200 Silver, 42",2071.4196,168
"Mountain-200 Silver, 46",2071.4196,179
"Road-250 Black, 44",2181.5625,129
"Road-250 Black, 48",2181.5625,141
"Road-250 Black, 52",2181.5625,172
"Road-250 Black, 58",2181.5625,144
"Road-250 Red, 58",2181.5625,172
"Mountain-200 Black, 38",2294.99,416
"Mountain-200 Black, 42",2294.99,427
"Mountain-200 Black, 46",2294.99,419
"Mountain-200 Silver, 38",2319.99,422
"Mountain-200 Silver, 42",2319.99,392
"Mountain-200 Silver, 46",2319.99,401
"Touring-1000 Blue, 46",2384.07,177
"Touring-1000 Blue, 50",2384.07,150
"Touring-1000 Blue, 54",2384.07,160
"Touring-1000 Blue, 60",2384.07,147
"Touring-1000 Yellow, 46",2384.07,172
"Touring-1000 Yellow, 50",2384.07,151
"Touring-1000 Yellow, 54",2384.07,158
"Touring-1000 Yellow, 60",2384.07,140
"Road-250 Black, 44",2443.35,142
"Road-250 Black, 48",2443.35,157
"Road-250 Black, 52",2443.35,147
"Road-250 Black, 58",2443.35,126
"Road-250 Red, 44",2443.35,144
"Road-250 Red, 48",2443.35,162
"Road-250 Red, 52",2443.35,133
"Road-250 Red, 58",2443.35,134
"Mountain-100 Black, 38",3374.99,49
"Mountain-100 Black, 42",3374.99,45
"Mountain-100 Black, 44",3374.99,60
"Mountain-100 Black, 48",3374.99,57
"Mountain-100 Silver, 38",3399.99,58
"Mountain-100 Silver, 42",3399.99,42
"Mountain-100 Silver, 44",3399.99,49
"Mountain-100 Silver, 48",3399.99,36
"Road-150 Red, 44",3578.27,281
"Road-150 Red, 48",3578.27,337
"Road-150 Red, 52",3578.27,302
"Road-150 Red, 56",3578.27,295
"Road-150 Red, 62",3578.27,336
